    16: E[0:00:01]-R[0:06:17]: Return=        -1, Steps=   1, Features = 64
    40: E[0:00:02]-R[0:06:41]: Return=        -1, Steps=   1, Features = 64
    65: E[0:00:03]-R[0:06:41]: Return=        -1, Steps=   1, Features = 64
    89: E[0:00:04]-R[0:06:46]: Return=        -1, Steps=   1, Features = 64
   117: E[0:00:05]-R[0:06:35]: Return=        -1, Steps=   1, Features = 64
   141: E[0:00:06]-R[0:06:39]: Return=        -1, Steps=   1, Features = 64
   166: E[0:00:07]-R[0:06:38]: Return=        -1, Steps=   1, Features = 64
   192: E[0:00:08]-R[0:06:34]: Return=        -1, Steps=   1, Features = 64
   218: E[0:00:09]-R[0:06:32]: Return=        -1, Steps=   1, Features = 64
   245: E[0:00:10]-R[0:06:28]: Return=        -1, Steps=   1, Features = 64
   267: E[0:00:11]-R[0:06:32]: Return=        -1, Steps=   1, Features = 64
   291: E[0:00:12]-R[0:06:33]: Return=        -1, Steps=   1, Features = 64
   315: E[0:00:13]-R[0:06:33]: Return=        -1, Steps=   1, Features = 64
   340: E[0:00:14]-R[0:06:32]: Return=        -1, Steps=   1, Features = 64
   364: E[0:00:15]-R[0:06:32]: Return=        -1, Steps=   1, Features = 64
   389: E[0:00:16]-R[0:06:31]: Return=        -1, Steps=   1, Features = 64
   415: E[0:00:17]-R[0:06:29]: Return=        -1, Steps=   1, Features = 64
   441: E[0:00:18]-R[0:06:28]: Return=        -1, Steps=   1, Features = 64
   467: E[0:00:19]-R[0:06:26]: Return=        -1, Steps=   1, Features = 64
   490: E[0:00:20]-R[0:06:27]: Return=        -1, Steps=   1, Features = 64
   515: E[0:00:21]-R[0:06:26]: Return=        -1, Steps=   1, Features = 64
   539: E[0:00:22]-R[0:06:26]: Return=        -1, Steps=   1, Features = 64
   565: E[0:00:23]-R[0:06:24]: Return=        -1, Steps=   1, Features = 64
   592: E[0:00:24]-R[0:06:22]: Return=        -1, Steps=   1, Features = 64
   617: E[0:00:25]-R[0:06:21]: Return=        -1, Steps=   1, Features = 64
   643: E[0:00:26]-R[0:06:19]: Return=        -1, Steps=   1, Features = 64
   669: E[0:00:27]-R[0:06:18]: Return=        -1, Steps=   1, Features = 64
   692: E[0:00:28]-R[0:06:18]: Return=        -1, Steps=   1, Features = 64
   718: E[0:00:29]-R[0:06:17]: Return=        -1, Steps=   1, Features = 64
   743: E[0:00:30]-R[0:06:16]: Return=        -1, Steps=   1, Features = 64
   770: E[0:00:31]-R[0:06:14]: Return=        -1, Steps=   1, Features = 64
   796: E[0:00:32]-R[0:06:12]: Return=        -1, Steps=   1, Features = 64
   822: E[0:00:33]-R[0:06:11]: Return=        -1, Steps=   1, Features = 64
   846: E[0:00:34]-R[0:06:10]: Return=        -1, Steps=   1, Features = 64
   871: E[0:00:35]-R[0:06:09]: Return=        -1, Steps=   1, Features = 64
   896: E[0:00:36]-R[0:06:08]: Return=        -1, Steps=   1, Features = 64
   923: E[0:00:37]-R[0:06:07]: Return=        -1, Steps=   1, Features = 64
   949: E[0:00:38]-R[0:06:05]: Return=        -1, Steps=   1, Features = 64
   976: E[0:00:39]-R[0:06:03]: Return=        -1, Steps=   1, Features = 64
  1000: >>> E[0:00:40]-R[0:06:03]: Return=        -1, Steps= 1.0, Features = 64
  1024: E[0:00:41]-R[0:06:02]: Return=        -1, Steps=   1, Features = 64
  1050: E[0:00:42]-R[0:06:01]: Return=        -1, Steps=   1, Features = 64
  1073: E[0:00:43]-R[0:06:01]: Return=        -1, Steps=   1, Features = 64
  1097: E[0:00:44]-R[0:06:00]: Return=        -1, Steps=   1, Features = 64
  1123: E[0:00:45]-R[0:05:59]: Return=        -1, Steps=   1, Features = 64
  1150: E[0:00:46]-R[0:05:57]: Return=        -1, Steps=   1, Features = 64
  1175: E[0:00:47]-R[0:05:56]: Return=        -1, Steps=   1, Features = 64
  1199: E[0:00:48]-R[0:05:55]: Return=        -1, Steps=   1, Features = 64
  1225: E[0:00:49]-R[0:05:54]: Return=        -1, Steps=   1, Features = 64
  1251: E[0:00:50]-R[0:05:53]: Return=        -1, Steps=   1, Features = 64
  1276: E[0:00:51]-R[0:05:52]: Return=        -1, Steps=   1, Features = 64
  1302: E[0:00:53]-R[0:05:51]: Return=        -1, Steps=   1, Features = 64
  1326: E[0:00:54]-R[0:05:50]: Return=        -1, Steps=   1, Features = 64
  1352: E[0:00:55]-R[0:05:49]: Return=        -1, Steps=   1, Features = 64
  1378: E[0:00:56]-R[0:05:48]: Return=        -1, Steps=   1, Features = 64
  1404: E[0:00:57]-R[0:05:46]: Return=        -1, Steps=   1, Features = 64
  1429: E[0:00:58]-R[0:05:45]: Return=        -1, Steps=   1, Features = 64
  1455: E[0:00:59]-R[0:05:44]: Return=        -1, Steps=   1, Features = 64
  1480: E[0:01:00]-R[0:05:43]: Return=        -1, Steps=   1, Features = 64
  1506: E[0:01:01]-R[0:05:42]: Return=        -1, Steps=   1, Features = 64
